date,fuel_type,variable_group,variable_name,unit,value,__rowNumber,value_original,unit_original,rate_currency,value_per_liter_equivalent,value_per_KL_equivalent,value_per_cylinder_equivalent,standardization_status,standardization_note
2026-04-03,ATF_DF,cost,ex_depot_price_new_irs,IRs_per_KL,133311.58,90,133311.58,IRs_per_KL,IRs,133.31158,133311.58,,converted_from_per_KL,
2026-04-03,LP_Gas,cost,ex_depot_price_new_irs,IRs_per_cylinder,1055.27,91,1055.27,IRs_per_cylinder,IRs,,,1055.27,kept_per_cylinder,
2026-04-03,Petrol,cost,ex_depot_price_nrs,NRs_per_KL,153783.09,92,153783.09,NRs_per_KL,NRs,153.78309,153783.09,,converted_from_per_KL,
2026-04-03,Diesel,cost,ex_depot_price_nrs,NRs_per_KL,242486.76,93,242486.76,NRs_per_KL,NRs,242.48676,242486.76,,converted_from_per_KL,
2026-04-03,Kerosene,cost,ex_depot_price_nrs,NRs_per_KL,197903.21,94,197903.21,NRs_per_KL,NRs,197.90321,197903.21,,converted_from_per_KL,
2026-04-03,ATF_DP,cost,ex_depot_price_nrs,NRs_per_KL,213498.5,95,213498.5,NRs_per_KL,NRs,213.4985,213498.5,,converted_from_per_KL,
2026-04-03,ATF_DF,cost,ex_depot_price_nrs,NRs_per_KL,213498.5,96,213498.5,NRs_per_KL,NRs,213.4985,213498.5,,converted_from_per_KL,
2026-04-03,LP_Gas,cost,ex_depot_price_nrs,NRs_per_cylinder,1690.01,97,1690.01,NRs_per_cylinder,NRs,,,1690.01,kept_per_cylinder,
2026-04-03,Petrol,cost,administration_cost,NRs_per_KL,608.02,98,608.02,NRs_per_KL,NRs,0.60802,608.02,,converted_from_per_KL,
2026-04-03,Diesel,cost,administration_cost,NRs_per_KL,608.02,99,608.02,NRs_per_KL,NRs,0.60802,608.02,,converted_from_per_KL,
2026-04-03,Kerosene,cost,administration_cost,NRs_per_KL,608.02,100,608.02,NRs_per_KL,NRs,0.60802,608.02,,converted_from_per_KL,
