date,ioc_price_effective_date,fuel_type,depot,category,variable_name,display_name,value,unit
2026-04-03,2026-04-01,Diesel,Amj/Barauni,cost_summary,total_cost_per_liter,"Total Cost to NOC per Liter/Cyl",302.54,NRs_per_liter
2026-04-03,2026-04-01,Kerosene,Barauni,cost_summary,total_cost_per_liter,"Total Cost to NOC per Liter/Cyl",246.06,NRs_per_liter
2026-04-03,2026-04-01,ATF_DP,Barauni,cost_summary,total_cost_per_liter,"Total Cost to NOC per Liter/Cyl",256.75,NRs_per_liter
2026-04-03,2026-04-01,ATF_DF,Barauni,cost_summary,total_cost_per_liter,"Total Cost to NOC per Liter/Cyl",263.4,NRs_per_liter
2026-04-03,2026-04-01,LP_Gas,Barauni,cost_summary,total_cost_per_liter,"Total Cost to NOC per Liter/Cyl",2326.37,NRs_per_cylinder
2026-04-03,2026-04-01,Petrol,Barauni,retail,retail_price_per_liter,"Retail Price per Liter/Cylinder (Average)",202,NRs_per_liter
2026-04-03,2026-04-01,Diesel,Amj/Barauni,retail,retail_price_per_liter,"Retail Price per Liter/Cylinder (Average)",182,NRs_per_liter
2026-04-03,2026-04-01,Kerosene,Barauni,retail,retail_price_per_liter,"Retail Price per Liter/Cylinder (Average)",182,NRs_per_liter
2026-04-03,2026-04-01,ATF_DP,Barauni,retail,retail_price_per_liter,"Retail Price per Liter/Cylinder (Average)",251,NRs_per_liter
2026-04-03,2026-04-01,ATF_DF,Barauni,retail,retail_price_per_liter,"Retail Price per Liter/Cylinder (Average)",1.785,NRs_per_liter
2026-04-03,2026-04-01,LP_Gas,Barauni,retail,retail_price_per_liter,"Retail Price per Liter/Cylinder (Average)",1910,NRs_per_cylinder
2026-04-03,2026-04-01,Petrol,Barauni,demand,fortnightly_projected_demand,"Fortnightly Projected Demand",33108,KL
2026-04-03,2026-04-01,Diesel,Amj/Barauni,demand,fortnightly_projected_demand,"Fortnightly Projected Demand",82277,KL
2026-04-03,2026-04-01,Kerosene,Barauni,demand,fortnightly_projected_demand,"Fortnightly Projected Demand",865,KL
2026-04-03,2026-04-01,ATF_DP,Barauni,demand,fortnightly_projected_demand,"Fortnightly Projected Demand",2616,KL
2026-04-03,2026-04-01,ATF_DF,Barauni,demand,fortnightly_projected_demand,"Fortnightly Projected Demand",5892,KL
2026-04-03,2026-04-01,LP_Gas,Barauni,demand,fortnightly_projected_demand,"Fortnightly Projected Demand",1522444,cylinders
2026-04-03,2026-04-01,Petrol,Barauni,profit_loss,profit_loss_per_liter,"Profit/Loss per Liter/Cylinder",-34.36,NRs_per_liter
2026-04-03,2026-04-01,Diesel,Amj/Barauni,profit_loss,profit_loss_per_liter,"Profit/Loss per Liter/Cylinder",-120.54,NRs_per_liter
2026-04-03,2026-04-01,Kerosene,Barauni,profit_loss,profit_loss_per_liter,"Profit/Loss per Liter/Cylinder",-64.06,NRs_per_liter
2026-04-03,2026-04-01,ATF_DP,Barauni,profit_loss,profit_loss_per_liter,"Profit/Loss per Liter/Cylinder",-5.75,NRs_per_liter
2026-04-03,2026-04-01,ATF_DF,Barauni,profit_loss,profit_loss_per_liter,"Profit/Loss per Liter/Cylinder",6.92,NRs_per_liter
