date,fuel_type,variable_group,variable_name,unit,value
2026-04-03,ATF_DP,border_price,rsp_nepal_border_birgunj,NRs_per_liter,251
2026-04-03,ATF_DF,border_price,rsp_nepal_border_birgunj,USD_per_liter,1785
2026-04-03,LP_Gas,border_price,rsp_nepal_border_birgunj,NRs_per_cylinder,1910
2026-04-03,Petrol,border_price,border_price_difference,NRs_per_liter,28.24
2026-04-03,Diesel,border_price,border_price_difference,NRs_per_liter,30.24
2026-04-03,Kerosene,border_price,border_price_difference,NRs_per_liter,0
2026-04-03,ATF_DP,border_price,border_price_difference,NRs_per_liter,91.51
2026-04-03,ATF_DF,border_price,border_price_difference,USD_per_liter,929.75
2026-04-03,LP_Gas,border_price,border_price_difference,NRs_per_cylinder,383.77
2026-04-03,Petrol,demand,fortnightly_projected_demand,KL,33108
2026-04-03,Diesel,demand,fortnightly_projected_demand,KL,82277
2026-04-03,Kerosene,demand,fortnightly_projected_demand,KL,865
2026-04-03,ATF_DP,demand,fortnightly_projected_demand,KL,2616
2026-04-03,ATF_DF,demand,fortnightly_projected_demand,KL,5892
2026-04-03,LP_Gas,demand,fortnightly_projected_demand,cylinders,1522444
2026-04-03,Petrol,profit_loss,profit_loss_per_liter,NRs_per_liter,-34.36
2026-04-03,Diesel,profit_loss,profit_loss_per_liter,NRs_per_liter,-120.54
2026-04-03,Kerosene,profit_loss,profit_loss_per_liter,NRs_per_liter,-64.06
2026-04-03,ATF_DP,profit_loss,profit_loss_per_liter,NRs_per_liter,-5.75
2026-04-03,ATF_DF,profit_loss,profit_loss_per_liter,NRs_per_liter,6.92
2026-04-03,LP_Gas,profit_loss,profit_loss_per_cylinder,NRs_per_cylinder,-416.37
2026-04-03,Petrol,profit_loss,total_profit_loss_fortnightly,crore_NRs,-113.76
2026-04-03,Diesel,profit_loss,total_profit_loss_fortnightly,crore_NRs,-991.78
2026-04-03,Kerosene,profit_loss,total_profit_loss_fortnightly,crore_NRs,-5.54
2026-04-03,ATF_DP,profit_loss,total_profit_loss_fortnightly,crore_NRs,-1.5
2026-04-03,ATF_DF,profit_loss,total_profit_loss_fortnightly,crore_NRs,4.08
2026-04-03,LP_Gas,profit_loss,total_profit_loss_fortnightly,crore_NRs,-63.39
2026-04-03,Petrol,govt_revenue,govt_revenue_per_liter,NRs_per_liter,66.98
2026-04-03,Diesel,govt_revenue,govt_revenue_per_liter,NRs_per_liter,49.28
2026-04-03,Kerosene,govt_revenue,govt_revenue_per_liter,NRs_per_liter,34.78
2026-04-03,ATF_DP,govt_revenue,govt_revenue_per_liter,NRs_per_liter,34.4
2026-04-03,ATF_DF,govt_revenue,govt_revenue_per_liter,NRs_per_liter,41.05
2026-04-03,LP_Gas,govt_revenue,govt_revenue_per_cylinder,NRs_per_cylinder,324.95
2026-04-03,Petrol,govt_revenue,total_govt_revenue_fortnightly,crore_NRs,221.77
2026-04-03,Diesel,govt_revenue,total_govt_revenue_fortnightly,crore_NRs,405.49
2026-04-03,Kerosene,govt_revenue,total_govt_revenue_fortnightly,crore_NRs,3.01
2026-04-03,ATF_DP,govt_revenue,total_govt_revenue_fortnightly,crore_NRs,9
2026-04-03,ATF_DF,govt_revenue,total_govt_revenue_fortnightly,crore_NRs,24.19
2026-04-03,LP_Gas,govt_revenue,total_govt_revenue_fortnightly,crore_NRs,49.47
